seed,initial_x,env_reward,other_reward,reward,duration,loss,loss_RND
333517453,-0.41432082653045654,-200.0,-24.341715859096695,-224.34171585909678,200,0.007888010126771405,1.2601257721733815e-07
615164183,-0.579095184803009,-200.0,19.707346241622055,-180.29265375837798,200,0.007902858798042872,1.0914780816273506e-07
1860564751,-0.46520957350730896,-200.0,-56.78134379160832,-256.78134379160815,200,0.007550513605820015,1.3610476864656107e-07
662096317,-0.4949689209461212,-200.0,-48.59263312308795,-248.59263312308795,200,0.007407910311594605,1.5924028363922814e-07
223743331,-0.5588007569313049,-200.0,46.59896165914572,-153.40103834085437,200,0.007564459393033757,9.121453581562022e-08
262149089,-0.4164431691169739,-200.0,-49.58312283238512,-249.58312283238513,200,0.008443701104260981,1.5779594345399772e-07
1510738028,-0.5766251683235168,-200.0,-13.16394004618193,-213.16394004618192,200,0.008641662595327943,1.3135125534580183e-07
733212190,-0.4316837787628174,-200.0,-60.012958179811754,-260.0129581798118,200,0.009267917464021592,9.087977861144125e-08
1736633189,-0.40562283992767334,-200.0,-52.8847263300634,-252.88472633006336,200,0.008651991500519216,1.4684439276102523e-07
28184338,-0.42423906922340393,-200.0,-51.60334874086714,-251.60334874086698,200,0.008459362763678655,1.0703461701178086e-07
44491102,-0.49651122093200684,-200.0,36.844516416982124,-163.15548358301777,200,0.008752837667707354,1.5203749654135734e-07
1675166867,-0.444445937871933,-200.0,-54.167196905210524,-254.16719690521066,200,0.008470411645248532,1.1406941367697599e-07
794620587,-0.5492709875106812,-200.0,9.891173361982093,-190.10882663801792,200,0.00822704567341134,1.2711744185045504e-07
2017761745,-0.4038761854171753,-200.0,-61.55763145363429,-261.5576314536342,200,0.009026109196711332,1.3005572851554348e-07
1015782649,-0.5795326828956604,-200.0,-43.50950931829025,-243.50950931829016,200,0.009552770461887121,1.0235882278442076e-07
2082797051,-0.5580537915229797,-200.0,-18.677472515653974,-218.677472515654,200,0.008605658106971533,1.2080049406559822e-07
1414389803,-0.4906599223613739,-200.0,-61.9401464432994,-261.94014644329934,200,0.008631080514751375,1.296479827828101e-07
1890946783,-0.5678651332855225,-200.0,-27.936318140761323,-227.93631814076127,200,0.008820238845655694,1.2422903461928314e-07
540983957,-0.5740181803703308,-200.0,-57.90740450958652,-257.90740450958646,200,0.007168095122324303,1.4897790561185787e-07
62900230,-0.4663464426994324,-200.0,-60.41564726712609,-260.415647267126,200,0.007072430331609212,1.0505478569733385e-07
1866106126,-0.5145601630210876,-200.0,-53.55830127735623,-253.55830127735624,200,0.005986967769567855,9.285512353907066e-08
1704303131,-0.44421347975730896,-200.0,-55.51513276538709,-255.5151327653871,200,0.005784543855115771,1.2682297717780955e-07
2127541194,-0.4882451891899109,-200.0,-56.522019326110325,-256.52201932611035,200,0.006004526424803771,1.385385852570309e-07
589823755,-0.5842380523681641,-200.0,-21.760184377009693,-221.76018437700964,200,0.006103620923240669,1.2498097797797315e-07
251033886,-0.40031948685646057,-200.0,-57.54576258765423,-257.5457625876542,200,0.00622021785704419,1.0954940214524811e-07
359488949,-0.4848681390285492,-200.0,-43.68327609878505,-243.68327609878506,200,0.006006354620913043,1.127569366388137e-07
2076584325,-0.4891975522041321,-200.0,-36.33088243693406,-236.33088243693408,200,0.005799439695547335,1.007949429743249e-07
1503218254,-0.5970621705055237,-200.0,58.328896046135334,-141.6711039538646,200,0.004529462473001331,1.0619538060474553e-07
799460095,-0.48474135994911194,-200.0,-58.10712283130949,-258.10712283130925,200,0.004701485363766551,1.2375730912950188e-07
1716810788,-0.42400991916656494,-200.0,-54.09288063003151,-254.09288063003166,200,0.004700608269777149,9.942699320530935e-08
1222506307,-0.5956052541732788,-200.0,131.4049252013841,-68.59507479861588,200,0.005376728778355755,1.4190689518356336e-07
62214025,-0.41903966665267944,-200.0,-59.957576571694986,-259.95757657169514,200,0.005712249758071266,1.7722666364905493e-07
863680353,-0.4750531315803528,-200.0,-53.71999083289297,-253.7199908328929,200,0.0061551737890113145,7.05988701943383e-08
39697541,-0.4069051146507263,-200.0,-55.606104762836544,-255.60610476283662,200,0.006181416207109578,1.345690989462689e-07
1436783712,-0.5407455563545227,-200.0,-50.37258186522925,-250.3725818652292,200,0.005244098955299706,1.1844435675145704e-07
127175716,-0.5445917248725891,-200.0,-34.31327269662376,-234.31327269662376,200,0.005991645128815435,9.301747365464408e-08
470031181,-0.5332609415054321,-200.0,-37.56360542947286,-237.56360542947291,200,0.005141795457457192,1.1529671387400242e-07
1461674712,-0.5227511525154114,-200.0,-54.66556116819655,-254.66556116819646,200,0.005806490794639103,1.1305903393488138e-07
1673826750,-0.45511922240257263,-200.0,-44.82408487645348,-244.82408487645347,200,0.006000486072152853,9.660328293525921e-08
1765634846,-0.5590662360191345,-200.0,-29.586070727864136,-229.58607072786415,200,0.005323345565702766,1.4203451362382324e-07
804669086,-0.5973093509674072,-200.0,-37.95148080292124,-237.95148080292114,200,0.00583092873042915,1.0189412217087579e-07
2142787096,-0.5929170846939087,-200.0,-27.778358386298656,-227.77835838629872,200,0.006089051230810582,1.1508917330704804e-07
1158297706,-0.4101535677909851,-200.0,-49.58301840050716,-249.58301840050703,200,0.005820936820236966,1.0347042390002059e-07
2114875522,-0.5081161260604858,-200.0,-55.298103797722476,-255.29810379772255,200,0.005737554933293722,1.0248777802868147e-07
2094514633,-0.40778258442878723,-200.0,-49.232023563406706,-249.23202356340676,200,0.005445732938242145,1.4068156437563317e-07
676009497,-0.5386874675750732,-200.0,-39.29976244468873,-239.2997624446888,200,0.005002407770953141,7.57046153632146e-08
286951238,-0.4036976397037506,-200.0,-57.08291534788294,-257.0829153478828,200,0.004938457757234573,1.331775149848724e-07
757091127,-0.5795626640319824,-200.0,-16.828994808404385,-216.82899480840442,200,0.005250437015201896,9.932480619090355e-08
1067571711,-0.5194408893585205,-200.0,-52.828717289257405,-252.82871728925744,200,0.005535562952863984,7.773144404144006e-08
959578365,-0.540789008140564,-200.0,-50.86869102110041,-250.86869102110043,200,0.00582831990730483,1.0566835924930018e-07
1999706412,-0.5988947153091431,-200.0,-38.34145270558091,-238.34145270558093,200,0.005086560545023531,1.099616951649729e-07
1777497466,-0.5137041807174683,-200.0,-48.804268063418995,-248.80426806341896,200,0.0051231750228907915,1.2949055193001157e-07
1698690315,-0.5958848595619202,-200.0,-4.197066302858994,-204.19706630285907,200,0.005093545335694216,9.457703306736675e-08
283891584,-0.4456702768802643,-200.0,-48.45854343684931,-248.4585434368492,200,0.004388891953276471,8.04125266307132e-08
2140628939,-0.5502045750617981,-200.0,-37.30141538786592,-237.30141538786597,200,0.0051032966701313855,1.0770158443529353e-07
1905571719,-0.5072963237762451,-200.0,-56.59572011853695,-256.59572011853686,200,0.004222638088394888,1.412855449034467e-07
1507025202,-0.46756550669670105,-200.0,-43.43309859160401,-243.43309859160394,200,0.00392936498101335,6.667114885283709e-08
1139533285,-0.4781205654144287,-200.0,-56.76901170093275,-256.76901170093254,200,0.0035429430700605734,1.0006837454445972e-07
1603071274,-0.46215400099754333,-200.0,-45.85553399396748,-245.85553399396747,200,0.004174415073357522,1.0080396484868359e-07
726216177,-0.5169646143913269,-200.0,-33.048645478964,-233.04864547896403,200,0.0039676501916255805,9.212104131961496e-08
908793517,-0.46137866377830505,-200.0,-39.285633632034106,-239.2856336320341,200,0.004775987576285843,1.0543284243214046e-07
45731334,-0.5575116872787476,-200.0,-43.180451971113705,-243.18045197111374,200,0.004937760861357674,1.0865191390374563e-07
590921644,-0.5327638983726501,-200.0,-40.92301507039674,-240.92301507039667,200,0.003653694179956801,8.90066725323102e-08
460289067,-0.5016988515853882,-200.0,-47.42520388798117,-247.42520388798113,200,0.003908173682866618,1.1495828127205953e-07
1269921670,-0.45030590891838074,-200.0,-46.25388313255281,-246.25388313255286,200,0.003486878025578335,7.313324127400377e-08
790021068,-0.5401381850242615,-200.0,-7.484111910797954,-207.48411191079802,200,0.003919682674459182,8.337795395219061e-08
1014143662,-0.4548214077949524,-200.0,-41.25376558334505,-241.2537655833451,200,0.004052576549584046,1.3251367514843792e-07
442769226,-0.5084407329559326,-200.0,-39.45370867712702,-239.45370867712697,200,0.003484678903478198,6.243949893347533e-08
682134956,-0.5575730800628662,-200.0,-23.64036990225811,-223.64036990225807,200,0.003921518874412868,8.646628499864306e-08
51648591,-0.5669224262237549,-200.0,-17.63793373863735,-217.63793373863717,200,0.0040123647078871725,1.0193663424695742e-07
978342577,-0.5777841806411743,-200.0,-31.05941211394686,-231.05941211394685,200,0.003474635182938073,1.1698209310573305e-07
1141369555,-0.5482349991798401,-200.0,-47.60622778039289,-247.60622778039289,200,0.004175074985541869,7.560940640694013e-08
1683321023,-0.5222862958908081,-200.0,-24.606968544057846,-224.60696854405793,200,0.0032947874011006206,1.1334880515301293e-07
170786947,-0.5732989311218262,-200.0,-44.03515948259636,-244.03515948259624,200,0.003591345645254478,8.825637466181036e-08
2074962590,-0.5961061716079712,-200.0,10.716594268832043,-189.28340573116802,200,0.0036892869087751024,6.928486400159528e-08
1092208806,-0.41322070360183716,-200.0,-42.319234244813494,-242.31923424481357,200,0.0037873445835430175,9.749810207182464e-08
1126034280,-0.5089367032051086,-200.0,-42.8758807857419,-242.87588078574214,200,0.004141418733925093,1.2843717873911585e-07
1460003813,-0.5394691228866577,-200.0,-43.9675762430731,-243.9675762430731,200,0.004035901818424463,6.812288332325167e-08
1315879961,-0.4293249249458313,-200.0,-50.635603603712006,-250.63560360371204,200,0.003567538961942773,1.247768389456283e-07
388834170,-0.592004656791687,-200.0,37.29090926719186,-162.70909073280822,200,0.0028371092397719623,5.625416958254803e-08
2103486000,-0.429214745759964,-200.0,-51.564106610078674,-251.56410661007862,200,0.003381858795764856,9.918566992173084e-08
1798514278,-0.5461719036102295,-200.0,9.333936618173801,-190.66606338182618,200,0.0018343230537720956,7.482444542183941e-08
1132077426,-0.41050776839256287,-200.0,-49.72662781424746,-249.72662781424754,200,0.0019347546659992077,6.919482256062537e-08
1108542909,-0.5091853141784668,-200.0,-50.65684447631507,-250.656844476315,200,0.0018814169996767304,8.645541206053764e-08
506410002,-0.5926799774169922,-200.0,31.88983096468354,-168.11016903531655,200,0.0020002878311788665,7.935634517730605e-08
433883232,-0.5438112020492554,-200.0,95.87505189352011,-104.12494810647999,200,0.002872463864623569,9.913500483405002e-08
876370241,-0.49562516808509827,-200.0,0.619059825355466,-199.3809401746445,200,0.009734729262418114,9.801088304284278e-08
1651329870,-0.5687602162361145,-200.0,32.02933804444483,-167.97066195555513,200,0.0038757652847561984,9.117705108696584e-08
335574990,-0.5520647168159485,-200.0,160.43634990080633,-39.56365009919365,200,0.004699809892917984,1.2572857401860205e-07
582471298,-0.4383222162723541,-200.0,-51.61124546016986,-251.61124546016993,200,0.006568935661343858,8.972839558030187e-08
666498027,-0.5488008856773376,-200.0,18.70635654600714,-181.29364345399287,200,0.008515632560011,7.92021822260125e-08
234259789,-0.5370668172836304,-200.0,102.2457432861592,-97.75425671384083,200,0.007532367859967053,1.1888740607757242e-07
1092397515,-0.47442707419395447,-200.0,-47.55844055589055,-247.5584405558905,200,0.009709545283112676,4.793699769134463e-08
1653591166,-0.5787339210510254,-200.0,-15.610101283936025,-215.610101283936,200,0.011609026381047443,1.1020229865876807e-07
1946737258,-0.5589839220046997,-200.0,37.84422866147358,-162.15577133852648,200,0.009190305195515976,7.775996225145576e-08
1476802044,-0.5066132545471191,-200.0,42.18496111351005,-157.81503888648996,200,0.010301740185241215,8.090697331875063e-08
